#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_871jhtol.slha	236.616804	255.482002	255.454941	1949.99355	1950.7501	1951.87242	0.001171536	0.001161159	ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.001080935	ATLAS-SUSY-2019-09	0.001110365	ATLAS-SUSY-2019-09	226.406109	214.811554	1909.81879	43.9299562	-1	00:12:57
ew_qhdt36o8.slha	495.895806	1023.59727	1022.7159	1025.87617	2176.67124	2176.83632	0.3027407	0.3371152	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.3572481	ATLAS-SUSY-2018-41	0.2459502	ATLAS-SUSY-2018-41	481.932632	2027.38764	996.732479	17.848285	-1	00:56:38
ew_3bblf56k.slha	22.4348919	1198.15587	1198.5627	1203.40323	1926.67907	1926.84708	0.2099212	0.3038725	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.15585	CMS-SUS-21-002	0.2716138	CMS-SUS-21-002	16.9823473	1783.66836	1171.58096	37.1304036	-1	00:02:12
ew_a0ebrj17.slha	352.767161	370.245026	361.390299	527.862509	769.754883	769.848303	0.08187176	0.08391108	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.07413023	ATLAS-SUSY-2018-41	0.05595855	CMS-SUS-21-002	492.11807	668.441296	353.562733	34.2411292	-1	00:50:06
ew_d5l7tyg4.slha	114.712352	644.510099	644.675711	1418.46747	1421.43502	1422.44239	3.777116	4.148192	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	3.903108	ATLAS-SUSY-2018-41	2.736621	CMS-SUS-21-002	105.809766	571.313501	1384.90217	40.7949157	-1	00:30:06
ew__q3317gs.slha	467.454806	479.593873	471.916205	915.728458	959.651037	916.581453	0.3221723	0.3448673	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.3821378	ATLAS-SUSY-2018-41	0.26116	ATLAS-SUSY-2018-41	914.897286	810.084281	460.946647	43.2222026	-1	00:46:18
ew_a9tcflzv.slha	314.610011	318.162833	316.663863	1599.41676	2699.95427	2700.11875	-1	-1	-1	-1	-1	-1	-1	1564.60292	2535.74162	304.722191	31.6588026	[]	00:00:02
ew_fpf72fph.slha	439.249612	444.188905	441.839744	1426.85355	1916.65081	1916.81095	-1	-1	-1	-1	-1	-1	-1	1385.01145	1772.89783	426.898273	32.4174844	[]	00:00:00
ew__1b0px1s.slha	85.8236556	667.320862	666.545031	668.727267	3121.88152	3122.04633	2.127174	2.100342	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.06824	ATLAS-SUSY-2018-41	1.414771	ATLAS-SUSY-2018-41	81.6670199	2950.84201	645.528011	22.81018	-1	00:32:38
ew_iju4z640.slha	324.081066	647.170262	647.322527	1002.22354	1010.44796	1011.08657	1.106454	1.291124	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.029551	ATLAS-SUSY-2018-41	0.8964966	CMS-SUS-21-002	306.655728	574.620292	974.905656	39.5620352	-1	00:36:19
