X: nr=31; t='T2bbffff'; mgl=1000000.0; mstop=618.3; mlsp=541.3; id0='SR1HcY'; r0=0.16; n0=15; id1='SR1McY'; r1=0.15; n1=14; id2='SR1HcX'; r2=0.08; n2=11; id3='SR1LcY'; r3=0.06; n3=12; id4='SR2McY'; r4=0.06; n4=38; id5='SR1McX'; r5=0.04; n5=10; id6='SR2HcY'; r6=0.04; n6=39; id7='SR2LcY'; r7=0.04; n7=37; id8='SR2HcX'; r8=0.03; n8=36; id9='SR2McX'; r9=0.02; n9=34.
X: nr=32; t='T2bbffff'; mgl=1000000.0; mstop=349.6; mlsp=323.4; id0='SR1McY'; r0=0.86; n0=14; id1='SR1LaY'; r1=0.85; n1=40; id2='SR1LcY'; r2=0.85; n2=12; id3='SR1VLaY'; r3=0.60; n3=35; id4='SR1LbY'; r4=0.59; n4=6; id5='SR1LcX'; r5=0.56; n5=9; id6='SR1LaX'; r6=0.50; n6=2; id7='SR1HcY'; r7=0.45; n7=15; id8='SR1MaY'; r8=0.43; n8=41; id9='SR1VLaX'; r9=0.42; n9=1.
X: nr=33; t='T2bbffff'; mgl=1000000.0; mstop=632.9; mlsp=572.5; id0='SR1McY'; r0=0.17; n0=14; id1='SR1HcY'; r1=0.14; n1=15; id2='SR1LcY'; r2=0.09; n2=12; id3='SR2McY'; r3=0.06; n3=38; id4='SR1HcX'; r4=0.06; n4=11; id5='SR1McX'; r5=0.06; n5=10; id6='SR2HcY'; r6=0.05; n6=39; id7='SR2LcY'; r7=0.05; n7=37; id8='SR1LcX'; r8=0.04; n8=9; id9='SR1LaY'; r9=0.03; n9=40.
X: nr=34; t='T2bbffff'; mgl=1000000.0; mstop=652.6; mlsp=574.5; id0='SR1HcY'; r0=0.13; n0=15; id1='SR1McY'; r1=0.09; n1=14; id2='SR1HcX'; r2=0.06; n2=11; id3='SR2HcY'; r3=0.05; n3=39; id4='SR2McY'; r4=0.04; n4=38; id5='SR1LcY'; r5=0.04; n5=12; id6='SR1McX'; r6=0.04; n6=10; id7='SR2HcX'; r7=0.02; n7=36; id8='SR1LcX'; r8=0.02; n8=9; id9='SR2LcY'; r9=0.01; n9=37.
X: nr=35; t='T2bbffff'; mgl=1000000.0; mstop=578.8; mlsp=518.1; id0='SR1McY'; r0=0.22; n0=14; id1='SR1HcY'; r1=0.20; n1=15; id2='SR1LcY'; r2=0.12; n2=12; id3='SR1McX'; r3=0.10; n3=10; id4='SR1HcX'; r4=0.10; n4=11; id5='SR2McY'; r5=0.08; n5=38; id6='SR2LcY'; r6=0.07; n6=37; id7='SR2HcY'; r7=0.07; n7=39; id8='SR1LcX'; r8=0.06; n8=9; id9='SR1LbY'; r9=0.04; n9=6.
X: nr=36; t='T2bbffff'; mgl=1000000.0; mstop=318.5; mlsp=255.5; id0='SR1McY'; r0=1.12; n0=14; id1='SR1HcY'; r1=1.02; n1=15; id2='SR1HcX'; r2=0.88; n2=11; id3='SR1McX'; r3=0.78; n3=10; id4='SR2McY'; r4=0.63; n4=38; id5='SR1LcY'; r5=0.62; n5=12; id6='SR1LcX'; r6=0.57; n6=9; id7='SR2HcY'; r7=0.45; n7=39; id8='SR2HcX'; r8=0.41; n8=36; id9='SR2McX'; r9=0.39; n9=34.
X: nr=37; t='T2bbffff'; mgl=1000000.0; mstop=736.2; mlsp=667.1; id0='SR1HcY'; r0=0.08; n0=15; id1='SR1McY'; r1=0.08; n1=14; id2='SR2McY'; r2=0.03; n2=38; id3='SR1LcY'; r3=0.03; n3=12; id4='SR1HcX'; r4=0.03; n4=11; id5='SR1McX'; r5=0.02; n5=10; id6='SR2HcY'; r6=0.02; n6=39; id7='SR1LcX'; r7=0.01; n7=9; id8='SR2LcY'; r8=0.01; n8=37; id9='SR2McX'; r9=0.01; n9=34.
X: nr=38; t='T2bbffff'; mgl=1000000.0; mstop=537.1; mlsp=462.0; id0='SR1HcY'; r0=0.29; n0=15; id1='SR1McY'; r1=0.28; n1=14; id2='SR1HcX'; r2=0.14; n2=11; id3='SR2McY'; r3=0.10; n3=38; id4='SR2HcY'; r4=0.10; n4=39; id5='SR1McX'; r5=0.10; n5=10; id6='SR1LcY'; r6=0.09; n6=12; id7='SR2HcX'; r7=0.06; n7=36; id8='SR1LcX'; r8=0.05; n8=9; id9='SR2McX'; r9=0.05; n9=34.
X: nr=39; t='T2bbffff'; mgl=1000000.0; mstop=469.7; mlsp=450.5; id0='SR1LcY'; r0=0.34; n0=12; id1='SR1LaY'; r1=0.30; n1=40; id2='SR1VLaY'; r2=0.30; n2=35; id3='SR1McY'; r3=0.22; n3=14; id4='SR1LbY'; r4=0.21; n4=6; id5='SR1LcX'; r5=0.17; n5=9; id6='SR1VLaX'; r6=0.17; n6=1; id7='SR1LaX'; r7=0.14; n7=2; id8='SR1VLbY'; r8=0.12; n8=5; id9='SR1MaY'; r9=0.09; n9=41.
X: nr=40; t='T2bbffff'; mgl=1000000.0; mstop=258.5; mlsp=198.3; id0='SR1HcY'; r0=1.34; n0=15; id1='SR1McY'; r1=1.30; n1=14; id2='SR1McX'; r2=1.22; n2=10; id3='SR1HcX'; r3=1.22; n3=11; id4='SR2McY'; r4=0.94; n4=38; id5='SR1LcX'; r5=0.88; n5=9; id6='SR1LcY'; r6=0.88; n6=12; id7='SR2HcX'; r7=0.63; n7=36; id8='SR2HcY'; r8=0.62; n8=39; id9='SR2McX'; r9=0.57; n9=34.
