#            mhscp              width               c000               c100               c200               c300
     2.0000000e+02      1.8000000e-18      3.3729914e-01      3.3677032e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      3.2000000e-18      3.2926937e-01      3.2875720e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      5.6000000e-18      3.1384513e-01      3.1336257e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-17      2.8272792e-01      2.8230030e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.5000000e-17      2.4673600e-01      2.4636784e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      2.2000000e-17      2.0014751e-01      1.9985270e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      3.2000000e-17      1.4565332e-01      1.4544103e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      4.6000000e-17      9.2293339e-02      9.2159489e-02      0.0000000e+00      0.0000000e+00
     2.0000000e+02      6.8000000e-17      4.5558300e-02      4.5491800e-02      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-16      1.7366116e-02      1.7340075e-02      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.5000000e-16      4.5551607e-03      4.5479360e-03      0.0000000e+00      0.0000000e+00
     2.0000000e+02      2.2000000e-16      9.4578366e-04      9.4418353e-04      0.0000000e+00      0.0000000e+00
     2.0000000e+02      3.2000000e-16      1.5436042e-04      1.5408875e-04      0.0000000e+00      0.0000000e+00
     2.0000000e+02      4.6000000e-16      2.0287090e-05      2.0251106e-05      0.0000000e+00      0.0000000e+00
     2.0000000e+02      6.8000000e-16      1.6368107e-06      1.6338920e-06      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-15      9.7134969e-08      9.6966567e-08      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.5000000e-15      3.1675911e-09      3.1628223e-09      0.0000000e+00      0.0000000e+00
     2.0000000e+02      2.2000000e-15      5.7212784e-11      5.7137937e-11      0.0000000e+00      0.0000000e+00
     2.0000000e+02      3.2000000e-15      2.6528426e-13      2.6495381e-13      0.0000000e+00      0.0000000e+00
     2.0000000e+02      5.6000000e-15      7.8204390e-19      7.8107668e-19      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.0000000e+02      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.2500000e+02      0.0000000e+00      3.7876938e-01      3.7837979e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e-22      3.7876890e-01      3.7837931e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e-20      3.7872105e-01      3.7833154e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e-19      3.7828253e-01      3.7789375e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      5.0000000e-19      3.7625934e-01      3.7587387e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e-18      3.7356965e-01      3.7318840e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.8000000e-18      3.6893111e-01      3.6855677e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      3.2000000e-18      3.5997609e-01      3.5961426e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      5.6000000e-18      3.4280756e-01      3.4246784e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e-17      3.0827660e-01      3.0797755e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.5000000e-17      2.6848210e-01      2.6822656e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      2.2000000e-17      2.1717736e-01      2.1697482e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      3.2000000e-17      1.5744987e-01      1.5730605e-01      0.0000000e+00      0.0000000e+00
     2.2500000e+02      4.6000000e-17      9.9280084e-02      9.9190999e-02      0.0000000e+00      0.0000000e+00
     2.2500000e+02      6.8000000e-17      4.8651329e-02      4.8608120e-02      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e-16      1.8343502e-02      1.8327051e-02      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.5000000e-16      4.7164629e-03      4.7120491e-03      0.0000000e+00      0.0000000e+00
     2.2500000e+02      2.2000000e-16      9.4706227e-04      9.4612029e-04      0.0000000e+00      0.0000000e+00
     2.2500000e+02      3.2000000e-16      1.4702543e-04      1.4687277e-04      0.0000000e+00      0.0000000e+00
     2.2500000e+02      4.6000000e-16      1.8049710e-05      1.8030722e-05      0.0000000e+00      0.0000000e+00
     2.2500000e+02      6.8000000e-16      1.2833608e-06      1.2819946e-06      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e-15      6.0305694e-08      6.0242136e-08      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.5000000e-15      1.2870922e-09      1.2858297e-09      0.0000000e+00      0.0000000e+00
     2.2500000e+02      2.2000000e-15      1.2174568e-11      1.2163857e-11      0.0000000e+00      0.0000000e+00
     2.2500000e+02      3.2000000e-15      2.2867471e-14      2.2850503e-14      0.0000000e+00      0.0000000e+00
     2.2500000e+02      5.6000000e-15      9.2368335e-21      9.2315044e-21      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.2500000e+02      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
